GroupID,Count,Records
1,1,"mitchell green (wallaby place, cleveland, 2119)"
2,5,"harley mccarthy (pridhamstreet, marsden, 3165) | harley mccarthy (pridham street, marsden, 3167) | harley mccarthy (pridham tstreet, marsden, 3165) | harley mccarthy (pridham street, marsden, 3165) | haryley mccarthy (pridhamp street, marsden, 3165)"
3,2,"madeline mason (hoseason street, granville, 4881) | madeline mason (hoseason street, granville, 4818)"
4,3,"isabelle nan (gundulu place, utakarra, 2193) | isabeel nan (gundulu place, utakarra, 2193) | isabelle nan (gundulu place, utakarra, 2193)"
5,1,"taylor hathaway (yuranigh court, nan, 4220)"
6,1,"toby webb (kent street, towradgi, 3107)"
7,3,"harry stubs (mountain creek road, eaton, 7310) | harry stubbs (mountain creek road, eaton, 7310) | harry stubbs (mountain creek road, eatin, 7301)"
8,2,"lydia mccattmhy (mckillop ecircuit, corio, 4670) | lydia mccarthy (mckillop circuit, corio, 4670)"
9,2,"hollie lillie-hinrichs (hemmings crescent, banyo, 4030) | hollie lillie-hinrichs (hemmings crescent, banyo, 4030)"
10,3,"dylan zilm (blameycrescent, wattle glen, 4211) | dylan zilm (blamey crescent, wattle glen, 4211) | dyan zilm (blamey crescent, wattle glen, 4211)"
11,2,"nan donaldson (manity court, charmhaven, 3101) | matthew donaldson (manity court, charmhaven, 3101)"
12,1,"isabella vincent (wilshiredstreet, rose ay, 6207)"
13,1,"connor bishop (jarreah, aspley, 6052)"
14,1,"connor shepherd (burnage place, winstonhills, 3183)"
15,2,"natalia gredn (macrossan crescent, yagoona, 2535) | natalia green (macrossan crescent, yagoona, 2535)"
16,6,"georgia pettigrove (sinclair street, prairei, 2478) | georgia pettigrove (sinclair street, prairie, 2478) | pettigrove georgia (sinclair street, prairie, 2478) | georgia pettigrove (sinclair street, prairie, 2478) | georgia pettigrove (sinclair street, prairie, 2478) | georgia pettigrove (sinclair street, prairie, 2478)"
17,3,"wilson pitno (bousteadcircuit, granville, 3161) | wilson pinto (boustead circuit, granville, 3161) | wilson pinto (boustead circuit, granville, 3161)"
18,2,"andrew klander (newman morris circuit, homebush, 2285) | andrew klander (newman morois circuit, homebush, 2285)"
19,4,"tahni skeen (macfarland crescent, ryde, 3220) | tahni murto m (macfarland crescent, ryde, 3220) | tahni murton (macfarland crescent, ryde, 3220) | tahni murton (macfarland crescent, ryde, 3220)"
20,1,"kasey millar (burdekin avenue, woollahra, 4217)"
21,1,"keziah parr (clift crecent, murphys rceek, 2761)"
22,2,"braecon schuetz (howarth place, alice springs, 2028) | braedon schuetz (howarth place, alice springs, 2024)"
23,2,"nemesia grifefn (derrington c rescent, beechboro, 2262) | nemesia clarke (derrington crescent, beechboro, 2262)"
24,3,"nan white (boobialla street, carlingford, 2830) | brinley white (boobialla street, carlingford, 2830) | brinley white (boobialla street, carlingford, 2830)"
25,2,"quilliam ashleigh (bedford s treet, surrey hills, 6525) | ashleigh quilliam (bedford street, surrey hills, 6525)"
26,1,"jacqueline daykin (mackie crescent, pottsville beach, 2213)"
27,1,"amelia benger (macalister crescent, sippy downs, 4110)"
28,2,"rily gloster (farrerplace, frankston, 3178) | riley gloster (farrer place, frankston, 3178)"
29,2,"lily thorpe (rivett place, mount gravatt, 6104) | lily thorpe (rivett place, mount gravatt, 6104)"
30,6,"lary slape (lamington street, albany creek, 6020) | lard slape (lamingtnn street, albany creek, 6002) | lara slape (lamingtonj street, albany creek, 6002) | lara slave (lamington s treet, albany creek, 6020) | lara slpee (lamington street, albany creek, 6020) | lara slape (lamington street, albany creek, 6020)"
31,1,"joshua linnell (lambrigg treet, rowville, 3185)"
32,3,"joshua linnell (lambrigg street, balwyn north, 3185) | joshua linnell (lambrigg street, balwyn north, 3185) | joshua linnell (lambrigg street, balwyn north, 3185)"
33,1,"sophie grubb (furphy place, cottles bridge, 5091)"
34,1,"john slywka (gowrie court, north ward, 6014)"
35,1,"alexandra robson (brunswick circuit, mount sophia, 5024)"
36,5,"stella chandler (ebden street, coffs harbour, 6304) | stella chandler (ebden street, coffs harbour, 6304) | stella chandler (letters street, coffs harbour, 6304) | stella chandler (ebden s treet, coffs harbour, 6304) | stella chandler (ebdenstreet, coffs harbour, 6304)"
37,3,"thomas white (monaro crescent, point lofsdale, 2088) | tohmas white (monaro crescent, point lonsdale, 2098) | thomas white (monaro crescent, point lonsdale, 2088)"
38,1,"hannah bloomfield (ferguson circuit, oakden, 7253)"
39,3,"nan kochiwama (antares crescent, benowa, 7017) | amelis kochiwama (antares crescent, benowa, 7017) | amelia kochiwama (antares crescent, benowa, 7017)"
40,1,"lauren bradshaw (ashcroft crescent, stirling north, 2198)"
41,1,"willow froscio (yandastreet, keilor, 5022)"
42,5,"sophie nicolle (garling street, kotara, 4740) | sophie nicolle (garling street, kotar a, 4740) | soph ie nicolle (garling sreet, kotara, 4740) | sophi ncille (garlings treet, kotara, 4740) | sophie nicolle (garling street, kotara, 4740)"
43,2,"angus stanley (lazar place, floradhill, 7008) | angus stanley (lazar place, flora hill, 7008)"
44,4,"jack stubbs (heard street, st agnes, 5344) | stubbs jaxck (heard sreet, st agnes, 5344) | jack stubbhw (heard srteet, st agnes, 5344) | jack stubbs (heard street, st agnes, 5344)"
45,1,"matthew leong (kavelstreet, minchinbfry, 6153)"
46,1,"katel byn colegte (fiveas hstreet, londonderry, 2195)"
47,1,"ebiny morby (condavale, armidale, 2111)"
48,4,"charlie ebert (brewster place, franskton, 4570) | charlie ebert (brewster place, frankston, 4570) | charlei ebert (brewste r place, frankston, 4570) | charlie eberg (brewster place, frankston, 4570)"
49,5,"charlotte hylnand (madsen place, clarinda, 3108) | charlote hyland (madsen place, clarinda, 3108) | charlotte hylawnd (madsen place, clarinda, 3108) | charlotte hyland (madsen place, clarinda, 3108) | charlotte hyland (madsen place, clarinda, 3108)"
50,2,"cheree purtell (spring rsnge road, cooma, 6111) | cheree purtell (spring range road, cooma, 4216)"
51,1,"laura ryan (officer crescent, orange, 2289)"
52,2,"feilcity godfrey (stuckey place, slacks creek, 6050) | felicity godfrey (stuckey place, slacks creek, 6050)"
53,2,"matthew paine (mcintyre street, moulyinning, 7000) | matthew paine (mcintyre street, moulyinning, 7000)"
54,1,"mikhayla campbell (baynton street, notting hill, 4350)"
55,4,"charlie roussonuis (gledden street, craigmore, 6026) | charlie roussounis (gledden street, craigomre, 6076) | charlie roussounis (gledden street, craigmore, 6026) | charlie roussonis (gledden street, craigmore, 6926)"
56,4,"dale fimeri (burdett crescent, wilson, 6618) | nan fimeri (burdett crescent, wilson, 6168) | dale fimdrfi (burdett crescent, wilxon, 6618) | dale fimeri (burdett crescent, wilson, 6168)"
57,3,"jaime nan (elliott street, bedfordale, 2081) | jaime musolino (elliott street, bedfordale, 2081) | jaime musolino (elliott street, bedfordale, 2081)"
58,2,"charlie goode (tauss place, nan, 2575) | charlie goode (tauss place, mitcham, 2575)"
59,3,"chloe pantazopoulos (allott place, aldgate, 2325) | ebon i pantazopoulos (allott place, aldgate, 2325) | eboni pantazopoulos (allott place, aldgate, 2325)"
60,3,"corey condo (andamooka street, hillston, 2026) | corey cono (andamooka street, hillston, 2026) | corey condo (andamooka street, hillston, 2026)"
61,4,"emiily berry (tenison-woods circuit, ashfield, 6169) | emiioy berry (tenison-woods circuit, ashfield, 6169) | berry emiily (tenison-woods circuit, ashfield, 6169) | sam berry (tenison-woopds circuit, ashfield, 6169)"
62,4,"emmet weller (copland drive, birmingham gardens, 4365) | emmet weller (copland drive, birmingham gardens, 4350) | emmet weller (coplandwdrive, birmingham gardens, 4350) | emmet weller (copland drive, birmingham gardens, 4350)"
63,1,"liam tuttleby (verco street, trevallyn, 2259)"
64,3,"karfissa creten (beattie cescent, moranbah, 2525) | karissa creten (beattie crgescent, moranbah, 2525) | karissa creten (beattie crescent, moranbah, 2525)"
65,5,"isabelle kaminskas (isis close, port augusta, 2765) | isabelle kaminskas (isis close, port aucusta, 2765) | isabelle kaminskas (isis close, port augusta, 2765) | isabelle kaminskas (isis close, port augusta, 2765) | kaminskas isabelle (isis cqlose, port augusta, 2765)"
66,1,"jayden browne (kincumber nautical vlge, sussex inlet, 2630)"
67,2,"melissa lanzotti (balfour crescent, cranbourne, 2064) | melissa lanzotti (balfour rcescent, cranbourne, 2064)"
68,4,"bailee dent (maddoc k place, nowra, 4171) | bailee dent (maddock place, nowra, 4171) | dent bailee (maddock place, nowrs, 4179) | bailee dent (maddockxplace, nowra, 4117)"
69,3,"quinn godfrey (duffy street, highotn, 3165) | quinn godfrey (duffy ytreet, highton, 3165) | quinn godfrey (duffy street, highton, 3165)"
70,2,"charlie stanley (amagula avenue, klemzig, 3356) | charlie stanley (amagula avenue, klemzig, 3356)"
71,2,"jazz stephenson (julia flynn avenue, ingleubrn, 3172) | isaac stephenson (julia flynn avenue, ingleburn, 3172)"
72,2,"aleisha mcelwee (osburn drive, condell park, 5237) | aleish mcelwee (osburn drive, condell park, 5237)"
73,3,"amber blackwell (thomson street, salisbury, 3188) | ambre blackwell (thomson street, salibsury, 3188) | amber blackweol (thomson street, salisbury, 3188)"
74,2,"shakiroh evans-zijlstra (ashkanasycrescent, robina, 2340) | shakirah evans-zijlstra (ashkanasy crescent, robina, 2340)"
75,1,"nan shelley (cromwell circuit, noble apark, 2026)"
76,1,"aiden ryan (honey patch, mosman, 3076)"
77,2,"william lazavroff (leahy lose, forbes, 7256) | william lazaroff (leah ylose, forbes, 7256)"
78,1,"jamie van galen (callister crescent, hackham, 3060)"
79,3,"isabella hendricks (colborne place, north ryde, 2000) | isabella hendricks (colborne place, north ryde, 2000) | isabekla hendricks (colborne place, north rde, 2900)"
80,2,"lucas benger (cunningham street, melton south, 2232) | lucas benger (cunningham street, melton south, 2232)"
81,2,"harrison doman (harry hopman circuit, toowong, 2088) | harrison domna (harry hopman circuit, toowong, 2088)"
82,6,"clarke isabella (gillespie street, mount victoria, 2147) | isabella clarke (gillespie street, mount victoria, 2147) | isabella clarke (gillespie street, mount vitoria, 2147) | isabella clarke (gillespiqe street, mount victoria, 2147) | isabella clarke (gillespie street, mount victoria, 2147) | isabella clarek (gillespie street, mount victoria, 2147)"
83,4,"emmerson loyck (burnie treet, thursday island, 3147) | lock emmerson (burnie s treet, thursdaq iland, 3174) | emmerson lock (burnie street, thursday island, 3147) | emmerson lock (burnie sreet, thursday island, 3147)"
84,2,"sarah behnke (pearson street, ramornie, 2209) | sarah coffey (pearson street, ramornie, 2209)"
85,6,"angus rees (heatonnplace, new farm, 6210) | angus rees (heato n place, new farm, 6219) | angus rees (heaton place, new farm, 6210) | angus rees (heaton place, new afrm, 6210) | angus rees (heaton place, new farm, 6210) | angus reec (heaton pace, new farm, 6210)"
86,2,"jordan vaile (mullan street, mansfield, 4153) | jordan vaile (mullan street, mansfield, 4152)"
87,3,"tate hingston (oxley street, kurri kurri, 5045) | tate hingston (oxley street, kurri kurri, 5045) | tate hingston (oxley street, kurri kurri, 5040)"
88,1,"charlotte bovill (vickery street, scarborough, 3911)"
89,2,"emma matthews (vanzetti crescent, moorabbin, 5158) | emma mattehws (vanzetti crescent, moorabbin, 5198)"
90,5,"sophie nguyen (namoi place, mount colah, 2550) | sopihe nguyen (namoi place, mount colah, 2550) | sophie nguyen (namoipkace, mount colah, 2550) | sophie george (namoi place, mount colah, 2550) | sophie nguyen (namoi plkace, mount colah, 2550)"
91,4,"kai white (cockcrofqt avenue, parramaxta, 4197) | kai white (cockcroft avenue, parramatta, 4179) | kai white (cockcroft avenue, parramatta, 4179) | kai white (cockcroft avenue, parramatta, 4179)"
92,1,"blade stingle (earle place, kellyville, 5046)"
93,4,"rosie rundle (sturt avneue, bundaberg, 2263) | rosie rundle (sturt venue, bundaberg, 2263) | rosie rundle (sturt avenue, bundaberg, 2263) | rosie rundle (sturt avenue, bundaebrg, 2263)"
94,2,"wanders harry (morehead street, trevallyn, 7205) | harry wanders (morehead street, trevallyn, 2705)"
95,1,"harrison matthiessen (harbison crescent, port kembla, 2619)"
96,2,"lauren sounness (leist street, seaforth, 832) | noah sounness (leist street, seaforth, 832)"
97,1,"tommy spinato (howie court, ballarat, 3356)"
98,2,"connor mayman (marenghoplace, toowoomba, 2025) | connor mayman (marengo place, toowoomba, 2025)"
99,1,"amber pamplin (milton, thornlie, 5040)"
100,3,"nathab priest (banks street, malvern east, 4750) | nathsan priest (banks street, malvern east, 4570) | nathan priest (banks street, malvern east, 4570)"
101,4,"casey vitkunas (jones place, emmaville, 2346) | casey vitkunads (jones pljace, emmaville, 2346) | noay vitkunas (jones place, emmaville, 2346) | casey vitkunas (jones place, emmaville, 2346)"
102,3,"silas webbm (jacka crvscent, nambour, 4306) | silas webb (jacka crescent, nambour, 4306) | silas webb (jacka crescent, namobur, 4306)"
103,1,"nicholas fittock (fortitudey street, st kilda east, 2298)"
104,1,"jayden liberts (odern place, corryong, 2614)"
105,5,"joel ryan (lance hill avenue, forest hill, 3070) | emalcene ryan (lance hill avenue, forest hill, 3070) | joel ryan (lance hill avenue, forets hill, 370) | ryan joel (lance hill avenue, forest hill, 3070) | joel ryamn (lance hill avenue, forest hill, 3070)"
106,1,"danjel vincent (forbes street, toukley, 3178)"
107,1,"jasper jennion (fitzhardinge crescent, glenside, 4034)"
108,4,"chloe crosthwaite (ashkanasy crescent, canterbury, 4215) | chloe crosthwaite (ashkanasy crescent, canterbury, 4125) | chloe crosthaite (ashkanasy crescent, canterbury, 4125) | chloe crosthwaite (ashkanasy crescent, canterbury, 4215)"
109,4,"natqlee coleman (minns place, waterman, 3910) | natalee coleman (minns place, waterman, 3910) | natalee colean (minns palce, waterman, 3910) | natalee coleman (minns place, waterman, 3910)"
110,1,"sophie laundy (la perouse street, eight mile plains, 3981)"
111,2,"reuven edgecombe (ashburton circuit, palmerston, 4231) | reuben edgecombe (ashburton circuit, palmerston, 4213)"
112,2,"amber pamplin (andrea palce, seven hills, 5054) | amber pamplin (andrea place, seven hills, 5045)"
113,2,"ayla benjamin (bradfield street, tatura, 2030) | ayla benjamin (bradfield s treet, tatura, 2030)"
114,2,"nan kempton (homburg street, blacktown, 3122) | nan kempton (homburg street, blackotwn, 3122)"
115,1,"dylan wilkins (denovan circuit, brighton-le-sands, 2320)"
116,1,"sienna slape (rene street, burleigh waters, 4034)"
